IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
818,10.489014,52.995387,2,70,0,0
819,11.076203,53.081588,2,50,0,0
820,10.875412,52.919900,2,100,0,0
821,11.148211,53.103415,2,50,0,0
822,11.099241,53.014391,2,50,0,0
823,10.961689,53.130080,2,70,0,0
824,10.963584,53.130032,2,70,0,0
825,12.093644,54.095081,2,50,0,0
826,12.015909,54.109482,2,50,0,0
827,12.015517,54.109518,2,50,0,0
828,12.454958,53.135261,2,100,0,0
829,13.200617,52.609456,2,30,0,0
830,13.198772,52.607799,2,30,0,0
831,10.889578,53.065310,2,50,0,0
832,10.674736,52.470706,2,50,0,0
833,10.685725,52.468626,2,50,0,0
834,10.525185,52.465342,2,100,0,0
835,10.713129,52.496203,2,50,0,0
836,11.178684,52.999743,2,50,0,0
837,10.679417,53.882613,2,50,0,0
838,10.068171,52.553325,2,100,0,0
839,10.068175,52.553639,2,100,0,0
840,9.594592,52.411060,2,50,0,0
841,9.561981,52.440921,2,50,0,0
842,9.535098,52.461416,2,50,0,0
843,9.459580,52.433974,2,50,0,0
844,9.416174,52.421997,2,50,0,0
845,9.420955,52.428352,2,50,0,0
846,9.390356,52.419574,2,50,0,0
847,9.421477,52.441509,2,50,0,0
848,9.843457,52.564364,2,50,0,0
849,9.855126,52.567118,2,50,0,0
850,10.133177,52.459040,2,50,0,0
851,10.132495,52.459039,2,50,0,0
852,9.890153,52.636755,2,100,0,0
853,9.977840,52.747949,2,70,0,0
854,12.939655,52.689287,2,50,0,0
855,10.049599,53.697029,2,50,0,0
856,9.500618,53.270525,2,50,0,0
857,11.450175,53.028942,2,70,0,0
858,11.386606,53.040516,2,70,0,0
859,10.931222,53.183329,2,50,0,0
860,13.285597,52.594730,2,50,0,0
861,9.619778,52.427786,2,50,0,0
862,9.622251,52.426390,2,50,0,0
863,9.957886,53.560684,2,30,0,0
864,9.953172,53.561734,2,30,0,0
865,9.872432,53.571144,2,50,0,0
866,10.310090,52.451484,2,50,0,0
867,10.307921,52.453728,2,50,0,0
868,9.570266,53.507356,2,50,0,0
869,9.570266,53.507356,2,50,0,0
870,13.066973,52.403738,2,30,0,0
871,12.736858,52.407147,2,50,0,0
872,12.510473,52.413872,2,50,0,0
873,12.510477,52.413930,2,50,0,0
874,8.596986,53.574387,2,50,0,0
875,12.568503,52.416155,2,30,0,0
876,12.568503,52.416155,2,30,0,0
877,8.932454,52.826633,2,70,0,0
878,9.045561,52.869963,2,70,0,0
879,12.194525,54.113809,2,70,0,0
880,8.888631,52.681266,2,70,0,0
881,13.020713,52.607863,2,60,0,0
882,9.788613,53.424797,2,50,0,0
883,9.788846,53.424883,2,50,0,0
884,9.788962,53.424883,2,50,0,0
885,9.788613,53.424797,2,50,0,0
886,10.465381,52.478765,2,70,0,0
887,10.465381,52.478765,2,70,0,0
888,11.171650,53.658133,2,50,0,0
889,11.067753,53.880408,2,50,0,0
890,13.377037,52.501731,2,50,0,0
891,12.800733,53.277375,2,50,0,0
892,12.800814,53.277339,2,50,0,0
893,13.309940,52.567934,2,50,0,0
894,10.583880,52.435272,2,50,0,0
895,10.584123,52.435286,2,50,0,0
896,14.006931,53.250603,2,100,0,0
897,11.620470,53.226404,2,50,0,0
898,10.621757,52.732658,2,70,0,0
899,13.629514,52.485310,2,50,0,0
900,13.624784,52.481403,2,50,0,0
901,13.318855,52.454124,2,50,0,0
902,13.344233,52.478464,2,50,0,0
903,10.128943,53.918645,2,50,0,0
904,11.790065,52.541159,2,50,0,0
905,13.736826,52.838359,2,50,0,0
906,13.736826,52.838359,2,50,0,0
907,9.063878,53.219506,2,50,0,0
908,9.380957,53.594466,2,70,0,0
909,9.380957,53.594466,2,70,0,0
910,10.487647,52.830159,2,70,0,0
911,9.063878,53.219506,2,50,0,0
912,10.286838,52.833061,2,50,0,0
913,10.286838,52.833061,2,50,0,0
914,10.693680,53.863829,2,30,0,0
915,9.869128,53.471664,2,50,0,0
916,9.535098,52.461416,2,50,0,0
917,9.561981,52.440921,2,50,0,0
918,9.937715,52.795623,2,70,0,0
919,13.656685,52.500862,2,70,0,0
920,13.660535,52.500728,2,70,0,0
921,9.731047,54.328152,2,60,0,0
922,9.717092,54.337829,2,60,0,0
923,9.732347,54.327400,2,60,0,0
924,10.070641,53.573158,2,50,0,0
925,10.707899,53.857001,2,50,0,0
926,10.707521,53.856414,2,50,0,0
927,10.684841,53.851128,2,50,0,0
928,10.685458,53.851060,2,50,0,0
929,10.690157,53.851537,2,50,0,0
930,10.686768,53.851456,2,50,0,0
931,10.697756,53.851607,2,50,0,0
932,10.696746,53.851516,2,50,0,0
